"","eigen.corrm..values","cum_sum_eigen","pct_var","cum_pct_var"
"1",3.97805604346027,3.97805604346027,0.331504670288356,0.331504670288356
"2",2.67875010287791,6.65680614633818,0.223229175239826,0.554733845528182
"3",1.61994805178228,8.27675419812045,0.134995670981856,0.689729516510038
"4",0.995524827804824,9.27227902592528,0.0829604023170687,0.772689918827107
"5",0.834203415650961,10.1064824415762,0.0695169513042468,0.842206870131354
"6",0.54170407823156,10.6481865198078,0.0451420065192967,0.88734887665065
"7",0.386577499822954,11.0347640196308,0.0322147916519128,0.919563668302563
"8",0.339482113033435,11.3742461326642,0.0282901760861196,0.947853844388683
"9",0.302779213089128,11.6770253457533,0.0252316010907607,0.973085445479444
"10",0.179368390419459,11.8563937361728,0.0149473658682883,0.988032811347732
"11",0.101861181978997,11.9582549181518,0.00848843183158309,0.996521243179315
"12",0.041745081848221,12,0.00347875682068509,1
